Date,WL
1/1/2023,9.26
1/1/2023,9.26
1/1/2023,9.26
1/1/2023,9.26
1/1/2023,9.26
1/1/2023,9.25
1/1/2023,9.26
1/1/2023,9.25
1/1/2023,9.25
1/1/2023,9.25
1/1/2023,9.25
1/1/2023,9.25
1/1/2023,9.25
1/1/2023,9.25
1/1/2023,9.25
1/1/2023,9.25
1/1/2023,9.24
1/1/2023,9.24
1/1/2023,9.24
1/1/2023,9.24
1/1/2023,9.24
1/1/2023,9.24
1/1/2023,9.23
1/1/2023,9.24
1/1/2023,9.23
1/1/2023,9.24
1/1/2023,9.23
1/1/2023,9.23
1/1/2023,9.24
1/1/2023,9.23
1/1/2023,9.23
1/1/2023,9.23
1/1/2023,9.23
1/1/2023,9.23
1/1/2023,9.23
1/1/2023,9.22
1/1/2023,9.23
1/1/2023,9.22
1/1/2023,9.23
1/1/2023,9.22
1/1/2023,9.22
1/1/2023,9.22
1/1/2023,9.22
1/1/2023,9.22
1/1/2023,9.21
1/1/2023,9.22
1/1/2023,9.21
1/1/2023,9.21
1/1/2023,9.21
1/1/2023,9.21
1/1/2023,9.21
1/1/2023,9.2
1/1/2023,9.2
1/1/2023,9.2
1/1/2023,9.2
1/1/2023,9.2
1/1/2023,9.19
1/1/2023,9.19
1/1/2023,9.19
1/1/2023,9.19
1/1/2023,9.19
1/1/2023,9.18
1/1/2023,9.18
1/1/2023,9.18
1/1/2023,9.17
1/1/2023,9.17
1/1/2023,9.17
1/1/2023,9.17
1/1/2023,9.17
1/1/2023,9.16
1/1/2023,9.16
1/1/2023,9.16
1/1/2023,9.16
1/1/2023,9.17
1/1/2023,9.16
1/1/2023,9.16
1/1/2023,9.16
1/1/2023,9.16
1/1/2023,9.16
1/1/2023,9.15
1/1/2023,9.15
1/1/2023,9.15
1/1/2023,9.15
1/1/2023,9.15
1/1/2023,9.14
1/1/2023,9.14
1/1/2023,9.14
1/1/2023,9.14
1/1/2023,9.14
1/1/2023,9.14
1/1/2023,9.13
1/1/2023,9.14
1/1/2023,9.13
1/1/2023,9.13
1/1/2023,9.13
1/1/2023,9.12
1/2/2023,9.12
1/2/2023,9.12
1/2/2023,9.12
1/2/2023,9.12
1/2/2023,9.12
1/2/2023,9.11
1/2/2023,9.11
1/2/2023,9.11
1/2/2023,9.11
1/2/2023,9.11
1/2/2023,9.11
1/2/2023,9.11
1/2/2023,9.11
1/2/2023,9.1
1/2/2023,9.1
1/2/2023,9.1
1/2/2023,9.1
1/2/2023,9.1
1/2/2023,9.09
1/2/2023,9.1
1/2/2023,9.09
1/2/2023,9.09
1/2/2023,9.08
1/2/2023,9.08
1/2/2023,9.08
1/2/2023,9.08
1/2/2023,9.08
1/2/2023,9.08
1/2/2023,9.07
1/2/2023,9.07
1/2/2023,9.07
1/2/2023,9.07
1/2/2023,9.07
1/2/2023,9.07
1/2/2023,9.06
1/2/2023,9.06
1/2/2023,9.06
1/2/2023,9.06
1/2/2023,9.06
1/2/2023,9.06
1/2/2023,9.06
1/2/2023,9.06
1/2/2023,9.06
1/2/2023,9.06
1/2/2023,9.06
1/2/2023,9.05
1/2/2023,9.05
1/2/2023,9.05
1/2/2023,9.04
1/2/2023,9.04
1/2/2023,9.04
1/2/2023,9.03
1/2/2023,9.03
1/2/2023,9.03
1/2/2023,9.03
