Date,Rainfall (mm/day),seasonal,WL
1/1/2020,0,0.132030148,0.449162179
1/2/2020,0,0.132030148,0.442385175
1/3/2020,0,0.132030148,0.435909321
1/4/2020,0,0.132030148,0.429727771
1/5/2020,0.254,0.132030148,0.423833683
1/6/2020,0,0.132030148,0.418220211
1/7/2020,0,0.132030148,0.412880511
1/8/2020,0,0.132030148,0.40780774
1/9/2020,0,0.132030148,0.402995052
1/10/2020,0,0.132030148,0.398435603
1/11/2020,0,0.132030148,0.394122549
1/12/2020,0,0.132030148,0.390049046
1/13/2020,0,0.132030148,0.38620825
1/14/2020,0,0.132030148,0.382593315
1/15/2020,0,0.132030148,0.379197399
1/16/2020,0,0.132030148,0.376013656
1/17/2020,0,0.132030148,0.373035242
1/18/2020,0,0.132030148,0.370255313
1/19/2020,0,0.132030148,0.367667024
1/20/2020,0,0.132030148,0.365263532
1/21/2020,0,0.132030148,0.363037992
1/22/2020,0,0.132030148,0.360983559
1/23/2020,0.865481481,0.132030148,0.35909339
1/24/2020,0,0.132030148,0.35736064
1/25/2020,0,0.132030148,0.355778464
1/26/2020,0,0.132030148,0.354340019
1/27/2020,0,0.132030148,0.35303846
1/28/2020,0,0.132030148,0.351866943
1/29/2020,0,0.132030148,0.350818623
1/30/2020,0,0.132030148,0.349886657
1/31/2020,0,0.132030148,0.3490642
2/1/2020,5.503333333,0.13218506,0.348344407
2/2/2020,19.79671296,0.132642746,0.347720434
2/3/2020,4.891851852,0.133392635,0.347185438
2/4/2020,0,0.134424156,0.346732573
2/5/2020,0,0.135726736,0.346354995
2/6/2020,0,0.137289803,0.346045861
2/7/2020,0,0.139102786,0.345798325
2/8/2020,0,0.141155113,0.345605544
2/9/2020,0.382175926,0.143436211,0.345460672
2/10/2020,0,0.14593551,0.345356867
2/11/2020,0,0.148642436,0.345287283
2/12/2020,0,0.151546419,0.345245077
2/13/2020,0,0.154636887,0.345223403
2/14/2020,0,0.157903267,0.345215418
2/15/2020,0,0.161334987,0.345214277
2/16/2020,2.369490741,0.164921477,0.346548464
2/17/2020,10.033,0.168652163,0.350425453
2/18/2020,0,0.172516475,0.356656889
2/19/2020,0,0.176503839,0.365054416
2/20/2020,0,0.180603686,0.375429678
2/21/2020,0,0.184805441,0.38759432
2/22/2020,2.131953704,0.189098534,0.401359986
2/23/2020,0,0.193472394,0.41653832
2/24/2020,0,0.197916447,0.432940966
2/25/2020,0,0.202420122,0.450379569
2/26/2020,0,0.206972847,0.468665773
2/27/2020,0,0.21156405,0.487611221
2/28/2020,0,0.21618316,0.50702756
2/29/2020,0,0.220819605,0.526726431
3/1/2020,0,0.2258728,0.546519481
3/2/2020,0,0.231716624,0.566218353
3/3/2020,0,0.238302202,0.585634691
3/4/2020,0,0.24558066,0.60458014
3/5/2020,0,0.253503122,0.622866343
3/6/2020,0,0.262020714,0.640304946
3/7/2020,0,0.271084559,0.656707592
3/8/2020,0,0.280645784,0.671885926
3/9/2020,12.7,0.290655512,0.685651592
3/10/2020,0,0.301064869,0.697816234
3/11/2020,0,0.31182498,0.708191496
3/12/2020,0,0.32288697,0.716589023
3/13/2020,0,0.334201962,0.722820459
3/14/2020,1.524,0.345721084,0.726697448
3/15/2020,0,0.357395458,0.728031635
3/16/2020,0,0.369176211,0.727828177
3/17/2020,0,0.381014466,0.727232122
3/18/2020,38.608,0.39286135,0.726264944
3/19/2020,22.352,0.404667987,0.724948122
3/20/2020,0,0.416385501,0.723303131
3/21/2020,0,0.427965018,0.721351448
3/22/2020,2.794,0.439357662,0.719114549
3/23/2020,0,0.450514559,0.71661391
3/24/2020,0,0.461386834,0.713871009
3/25/2020,0,0.47192561,0.71090732
3/26/2020,0,0.482082014,0.707744321
3/27/2020,1.016,0.49180717,0.704403489
3/28/2020,8.128,0.501052202,0.700906298
3/29/2020,0,0.509768237,0.697274227
3/30/2020,0,0.517906398,0.693528751
3/31/2020,0,0.525417811,0.689691346
4/1/2020,4.064,0.532451992,0.68578349
4/2/2020,0,0.539204455,0.681826658
4/3/2020,6.35,0.545695318,0.677842327
4/4/2020,0,0.551944701,0.673851973
4/5/2020,0,0.557972722,0.669877073
4/6/2020,0.254,0.563799501,0.665939103
4/7/2020,0,0.569445157,0.662059539
4/8/2020,0,0.574929809,0.658259858
4/9/2020,0,0.580273577,0.654561537
4/10/2020,0,0.585496579,0.650986051
4/11/2020,1.016,0.590618934,0.647554877
4/12/2020,23.368,0.595660762,0.644289492
4/13/2020,0,0.600642182,0.641211371
4/14/2020,0,0.605583313,0.638341992
4/15/2020,0,0.610504274,0.63570283
4/16/2020,6.35,0.615425185,0.633137539
4/17/2020,2.54,0.620366163,0.630483667
4/18/2020,0,0.62534733,0.627753534
4/19/2020,0,0.630388803,0.624959461
4/20/2020,0.254,0.635510702,0.622113766
4/21/2020,0,0.640733146,0.619228769
4/22/2020,0,0.646076254,0.616316791
4/23/2020,0,0.651560145,0.613390151
4/24/2020,0,0.657204938,0.610461169
4/25/2020,0,0.663030754,0.607542165
4/26/2020,0,0.66905771,0.604645458
4/27/2020,0,0.675305925,0.601783369
4/28/2020,1.016,0.68179552,0.598968216
4/29/2020,0,0.688546613,0.596212321
4/30/2020,0,0.695579323,0.593528002
5/1/2020,0,0.703233667,0.590927579
5/2/2020,0.508,0.711784387,0.588423373
